using device: cuda
tokenizer=subword/bpe | tokenizer_vocab=512 | corpus_chars=5,077,489 | train_tokens=1,897,789 | val_tokens=210,866
tokenizer_model=C:\Users\alber\AppData\Local\Temp\jakal_net_tokenizers\progressive_b_subword_bpe_512_442781528131.model
model_params=640,218 | dim=128 | seq_len=64 | warmup=3 | stages=3/8/2 | refine=3
schedule_steps=59,304 | approx_epochs=8.000 | steps_per_epoch=7,413 | batch_size=256 | objective=full_sequence_causal
causal_path=sequence_only_joint_blocks
progress | step=59304/59304 | epoch=8.000 | 100.0% | minibatch_loss=5.5161 | elapsed=11353.5s
eval 01 | step=    1 | epoch=0.000 | train_loss=6.3991 | train_ppl=601.32 | val_loss=6.3984 | val_ppl=600.86
eval 02 | step= 7413 | epoch=1.000 | train_loss=5.5678 | train_ppl=261.85 | val_loss=5.5798 | val_ppl=265.02
eval 03 | step=14826 | epoch=2.000 | train_loss=5.5654 | train_ppl=261.24 | val_loss=5.5740 | val_ppl=263.48
eval 04 | step=22239 | epoch=3.000 | train_loss=5.5575 | train_ppl=259.17 | val_loss=5.5697 | val_ppl=262.35
eval 05 | step=29652 | epoch=4.000 | train_loss=5.5603 | train_ppl=259.90 | val_loss=5.5649 | val_ppl=261.09
eval 06 | step=37065 | epoch=5.000 | train_loss=5.5506 | train_ppl=257.38 | val_loss=5.5639 | val_ppl=260.85
eval 07 | step=44478 | epoch=6.000 | train_loss=5.5457 | train_ppl=256.12 | val_loss=5.5656 | val_ppl=261.29
eval 08 | step=51891 | epoch=7.000 | train_loss=5.5487 | train_ppl=256.90 | val_loss=5.5555 | val_ppl=258.64
eval 09 | step=59304 | epoch=8.000 | train_loss=5.5231 | train_ppl=250.40 | val_loss=5.5345 | val_ppl=253.27

--- prompt ---
### Alice ### [Illustration] Alice¡¯s Adventures in Wonderland by Lewis Carroll THE MILLENNIUM FULCRU

--- sample ---
### Alice ### [Illustration] Alice¡¯s Adventures in Wonderland by Lewis Carroll THE MILLENNIUM FULCRU a,h,,.pc to of.i theing.hssAe, ered CTAe S_LLRETE theoNe  to Oo.AR aym theyst of  theerse CRI
